[2026-05-01 23:33:27] [INFO] __main__: Starting training...
/media/toshimitsu/ボリューム/01_MyModels/train/trainer.py:51: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = GradScaler()
/media/toshimitsu/ボリューム/01_MyModels/train/trainer.py:63: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
epoch 1 step 2930 loss 0.2272
epoch 1 step 2940 loss 0.2596
epoch 1 step 2950 loss 0.1883
epoch 1 step 2960 loss 0.2341
epoch 1 step 2970 loss 0.2162
epoch 1 step 2980 loss 0.1165
epoch 1 step 2990 loss 0.2246
epoch 1 step 3000 loss 0.2438
epoch 1 step 3010 loss 0.1799
epoch 1 step 3020 loss 0.2725
epoch 1 step 3030 loss 0.2169
epoch 1 step 3040 loss 0.2871
epoch 1 step 3050 loss 0.1968
epoch 1 step 3060 loss 0.1598
epoch 1 step 3070 loss 0.2075
epoch 1 step 3080 loss 0.2471
epoch 1 step 3090 loss 0.1911
epoch 1 step 3100 loss 0.2410
epoch 1 step 3110 loss 0.2138
epoch 1 step 3120 loss 0.2019
epoch 1 step 3130 loss 0.2331
epoch 1 step 3140 loss 0.1522
epoch 1 step 3150 loss 0.3190
epoch 1 step 3160 loss 0.2092
epoch 1 step 3170 loss 0.1342
epoch 1 step 3180 loss 0.2307
epoch 1 step 3190 loss 0.1137
epoch 1 step 3200 loss 0.2827
epoch 1 step 3210 loss 0.1765
epoch 1 step 3220 loss 0.1984
epoch 1 step 3230 loss 0.3133
epoch 1 step 3240 loss 0.2632
epoch 1 step 3250 loss 0.2045
epoch 1 step 3260 loss 0.2762
epoch 1 step 3270 loss 0.1225
epoch 1 step 3280 loss 0.1922
epoch 1 step 3290 loss 0.2713
epoch 1 step 3300 loss 0.2705
epoch 1 step 3310 loss 0.2816
epoch 1 step 3320 loss 0.2558
epoch 1 step 3330 loss 0.2439
epoch 1 step 3340 loss 0.2887
epoch 1 step 3350 loss 0.2710
epoch 1 step 3360 loss 0.1956
epoch 1 step 3370 loss 0.2811
epoch 1 step 3380 loss 0.3022
epoch 1 step 3390 loss 0.2678
epoch 1 step 3400 loss 0.2873
epoch 1 step 3410 loss 0.2910
epoch 1 step 3420 loss 0.2114
epoch 1 step 3430 loss 0.2313
epoch 1 step 3440 loss 0.2007
epoch 1 step 3450 loss 0.2456
epoch 1 step 3460 loss 0.2682
epoch 1 step 3470 loss 0.2390
epoch 1 step 3480 loss 0.1863
epoch 1 step 3490 loss 0.1317
epoch 1 step 3500 loss 0.2594
epoch 1 step 3510 loss 0.2946
epoch 1 step 3520 loss 0.2030
epoch 1 step 3530 loss 0.2009
epoch 1 step 3540 loss 0.2293
epoch 1 step 3550 loss 0.1732
epoch 1 step 3560 loss 0.2136
epoch 1 step 3570 loss 0.2176
epoch 1 step 3580 loss 0.2332
epoch 1 step 3590 loss 0.1899
epoch 1 step 3600 loss 0.1951
epoch 1 step 3610 loss 0.1650
epoch 1 step 3620 loss 0.2090
epoch 1 step 3630 loss 0.1952
epoch 1 step 3640 loss 0.1206
epoch 1 step 3650 loss 0.2805
epoch 1 step 3660 loss 0.2841
epoch 1 step 3670 loss 0.1996
epoch 1 step 3680 loss 0.2145
epoch 1 step 3690 loss 0.1384
epoch 1 step 3700 loss 0.2231
epoch 1 step 3710 loss 0.2151
epoch 1 step 3720 loss 0.2836
epoch 1 step 3730 loss 0.2129
epoch 1 step 3740 loss 0.2620
epoch 1 step 3750 loss 0.1897
epoch 1 step 3760 loss 0.2506
epoch 1 step 3770 loss 0.1997
epoch 1 step 3780 loss 0.2229
epoch 1 step 3790 loss 0.0272
epoch 1 step 3800 loss 0.2718
epoch 1 step 3810 loss 0.2379
epoch 1 step 3820 loss 0.1408
epoch 1 step 3830 loss 0.1108
epoch 1 step 3840 loss 0.1231
epoch 1 step 3850 loss 0.1709
epoch 1 step 3860 loss 0.2222
epoch 1 step 3870 loss 0.2088
epoch 1 step 3880 loss 0.1310
epoch 1 step 3890 loss 0.1913
epoch 1 step 3900 loss 0.2176
epoch 1 step 3910 loss 0.2164
epoch 1 step 3920 loss 0.1950
epoch 1 step 3930 loss 0.2385
epoch 1 step 3940 loss 0.1906
epoch 1 step 3950 loss 0.1871
epoch 1 step 3960 loss 0.2430
epoch 1 step 3970 loss 0.2635
